,Associated System,Cortical CI,Cortical Target,Target PC,Target WMD,Voxel
0,Default,1,21,0.0,-1.3713230906348464,1001
1,Default,2,22,0.0,-2.2153133230157249,1001
2,Default,3,23,0.16833669691597711,0.26958110107562927,1001
3,Default,2,91,0.10579809966859305,0.61480442315606143,1001
4,Default,6,102,0.44234732338748162,-0.0040793472241288636,1001
5,Default,3,139,0.082723322179123163,0.57134584965663149,1001
6,Default,1,227,0.7411761070646945,-0.79562041111386295,1001
7,Default,3,248,0.032030840608621429,-2.8904462750935966,1001
8,Default,1,259,0.66402419719298411,0.50632289359243665,1001
9,Default,5,283,0.62246638661637255,0.81162503504839079,1001
10,Default,2,294,0.52763582229926542,-1.1156806549769949,1001
11,Default,2,298,0.29960741203588437,-0.51992336597905064,1001
12,Default,6,327,0.35079294309768805,0.73380643526600298,1001
13,Default,1,331,0.27007526139207017,-1.2331150840442999,1001
14,Default,2,42,0.056391793237723156,0.45056115913062272,1002
15,Default,2,79,0.0744001701105131,0.50765180436685664,1002
16,Default,0,103,0.44485387967976353,0.21795240397030796,1002
17,Default,2,168,0.16341117191755827,0.20498887439879646,1002
18,Default,3,248,0.032030840608621429,-2.8904462750935966,1002
19,Default,5,283,0.62246638661637255,0.81162503504839079,1002
20,Default,2,294,0.52763582229926542,-1.1156806549769949,1002
21,Default,2,298,0.29960741203588437,-0.51992336597905064,1002
22,Default,1,323,0.62648025515455785,0.69249313279550351,1002
23,Default,5,341,0.58668729127042674,0.014224589315788797,1002
24,Default,2,347,0.35835828310412077,-0.34261201546077963,1002
25,Visual,4,16,0.65791485688757134,1.2094785714422698,1003
26,Visual,2,28,0.49160313440236431,0.31343470162763082,1003
27,Visual,9,29,0.6583623866852355,0.079863892600091912,1003
28,Visual,2,42,0.056391793237723156,0.45056115913062272,1003
29,Visual,2,79,0.0744001701105131,0.50765180436685664,1003
30,Visual,0,85,0.29932014995638001,0.55197306113647948,1003
31,Visual,0,103,0.44485387967976353,0.21795240397030796,1003
32,Visual,2,146,0.094678909110408771,0.20503425311220305,1003
33,Visual,1,192,0.67880848184871068,0.65954225639071518,1003
34,Visual,4,241,0.5658484984273886,0.040854760925255355,1003
35,Visual,6,265,0.53842160211233414,-0.84743208875185261,1003
36,Visual,2,325,0.0,-2.0684197151412023,1003
37,Visual,2,329,0.089238807832986378,0.28768575507824945,1003
38,Visual,1,17,0.45395894407610121,-0.7590326661608745,1004
39,Visual,2,28,0.49160313440236431,0.31343470162763082,1004
40,Visual,9,29,0.6583623866852355,0.079863892600091912,1004
41,Visual,2,42,0.056391793237723156,0.45056115913062272,1004
42,Visual,2,79,0.0744001701105131,0.50765180436685664,1004
43,Visual,0,85,0.29932014995638001,0.55197306113647948,1004
44,Visual,2,146,0.094678909110408771,0.20503425311220305,1004
45,Visual,1,192,0.67880848184871068,0.65954225639071518,1004
46,Visual,5,200,0.64664126913810349,-1.4465103323449768,1004
47,Visual,6,265,0.53842160211233414,-0.84743208875185261,1004
48,Visual,2,325,0.0,-2.0684197151412023,1004
49,Visual,2,329,0.089238807832986378,0.28768575507824945,1004
50,Visual,3,376,0.20496785962197464,0.783320224479094,1004
51,Visual,2,79,0.0744001701105131,0.50765180436685664,1005
52,Visual,0,85,0.29932014995638001,0.55197306113647948,1005
53,Visual,2,113,0.18042390106043665,-0.48880279431196105,1005
54,Visual,4,132,0.43598403597848495,0.03172228455109561,1005
55,Visual,2,143,0.18546470810790511,-0.70211165310101442,1005
56,Visual,0,155,0.62018019803809998,0.83912883827449847,1005
57,Visual,5,200,0.64664126913810349,-1.4465103323449768,1005
58,Visual,2,203,0.39082575300842493,-0.65528267951482644,1005
59,Visual,1,287,0.49240285649763882,0.598953123642607,1005
60,Visual,2,318,0.0083716333120962029,-1.7272946551794937,1005
61,Visual,2,393,0.11866717354143946,-0.44268024067884887,1005
62,Default,2,22,0.0,-2.2153133230157249,1006
63,Default,2,79,0.0744001701105131,0.50765180436685664,1006
64,Default,0,103,0.44485387967976353,0.21795240397030796,1006
65,Default,2,168,0.16341117191755827,0.20498887439879646,1006
66,Default,2,326,0.0,-1.248541804337862,1006
67,Default,2,347,0.35835828310412077,-0.34261201546077963,1006
68,Default,4,371,0.63463000769701805,1.4446481104439433,1006
69,Visual,2,22,0.0,-2.2153133230157249,1007
70,Visual,2,42,0.056391793237723156,0.45056115913062272,1007
71,Visual,2,79,0.0744001701105131,0.50765180436685664,1007
72,Visual,0,103,0.44485387967976353,0.21795240397030796,1007
73,Visual,2,146,0.094678909110408771,0.20503425311220305,1007
74,Visual,2,168,0.16341117191755827,0.20498887439879646,1007
75,Visual,2,329,0.089238807832986378,0.28768575507824945,1007
76,Visual,2,332,0.07824092073446301,0.55240399948247654,1007
77,Visual,5,341,0.58668729127042674,0.014224589315788797,1007
78,Visual,2,347,0.35835828310412077,-0.34261201546077963,1007
79,Visual,2,393,0.11866717354143946,-0.44268024067884887,1007
80,Visual,2,28,0.49160313440236431,0.31343470162763082,1008
81,Visual,4,56,0.28928843803898685,-1.2895046130305523,1008
82,Visual,2,79,0.0744001701105131,0.50765180436685664,1008
83,Visual,0,85,0.29932014995638001,0.55197306113647948,1008
84,Visual,0,105,0.63325121206419221,0.61774752575018366,1008
85,Visual,2,146,0.094678909110408771,0.20503425311220305,1008
86,Visual,6,157,0.67254996078470008,-0.7602244580492965,1008
87,Visual,0,174,0.6686028891352862,1.3746840658729753,1008
88,Visual,4,241,0.5658484984273886,0.040854760925255355,1008
89,Visual,0,271,0.67269264285707564,2.1462498724749421,1008
